player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jordan Bertagnole,98348,DI,WYOMING,6,4,0,,0,0,351,60.0,59.8,83.3,57.9,59.5,82.1,2,2,0,,0.0,0,0,0,0.0,0,3,0,0,0,331,330,2,299,12,17,0,1,164,167,0,15,16,0,7,0,0,0,
Caleb Oppan,98349,ED,DUKE,9,2,0,,0,0,154,,60.3,78.1,64.3,57.4,77.7,0,0,0,,0.0,0,0,0,0.0,0,1,1,0,0,47,46,0,0,46,0,0,1,11,36,0,3,2,0,1,0,0,0,
Duke Olges,98350,ED,NWESTERN,6,0,0,,0,0,256,,43.4,74.9,54.3,41.6,18.4,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,29,29,1,10,8,10,0,0,19,10,0,0,0,0,0,0,0,0,
Trey Knox,98359,WR,ARKANSAS,1,0,0,,1,0,111,,60.0,60.0,,60.0,,0,0,0,,,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Cameron Williams,98438,ED,MIAMI FL,11,4,1,,0,0,220,68.9,60.9,48.3,61.9,57.3,63.3,2,5,0,,8.3,1,0,1,0.0,0,0,0,0,5,205,205,0,1,202,2,0,0,113,87,0,4,7,0,7,0,0,0,
Deshawn Holt,98439,ED,MARYLAND,5,1,1,,0,0,215,60.5,49.9,84.6,55.4,45.7,43.2,0,2,0,,20.0,2,0,0,0.0,0,0,7,0,1,207,200,0,3,187,10,0,7,95,111,0,5,7,0,2,0,0,0,
Jason Vaughn,98440,ED,USF,9,0,0,100.0,0,0,327,58.3,58.9,81.6,56.5,61.4,38.3,0,2,0,27,26.7,4,0,0,118.8,1,0,1,0,7,132,131,0,0,115,16,0,1,56,69,0,8,11,1,2,0,27,1,27.0
Shitta Sillah,98442,ED,BOSTON COL,11,8,0,75.0,1,0,121,61.0,60.1,59.9,59.0,60.4,57.5,2,6,1,42,14.3,3,1,1,77.1,3,4,2,0,16,336,334,0,5,277,52,0,2,176,144,0,5,10,4,12,0,59,34,19.7
Seth Coleman,98443,ED,ILLINOIS,6,3,0,,1,0,187,68.7,57.3,43.0,52.4,59.9,73.4,1,4,0,,6.7,1,0,1,0.0,0,0,0,0,0,180,180,0,1,176,3,0,0,80,100,0,8,11,0,5,0,0,0,
Kayvon Thibodeaux,98444,ED,OREGON,7,5,3,100.0,0,0,264,69.2,78.9,51.0,72.9,80.2,37.8,4,27,0,1,25.0,9,0,2,79.2,1,3,12,0,20,473,457,0,0,438,19,0,16,233,220,4,21,22,1,34,0,1,4,1.0
Kendall Wilkerson,98450,ED,LA LAFAYET,4,3,0,0.0,0,0,207,60.3,66.6,77.3,71.7,56.9,75.8,1,1,0,,0.0,0,0,0,39.6,0,0,0,0,2,51,51,0,21,26,4,0,0,31,18,0,1,1,1,2,0,0,0,
Keith Randolph Jr.,98452,ED,ILLINOIS,5,1,1,,0,0,187,60.0,63.3,79.4,60.0,63.1,77.8,0,2,0,,0.0,0,0,0,0.0,0,0,1,0,0,88,87,0,30,54,3,0,1,45,43,0,5,5,0,2,0,0,0,
Ty Danzy,98453,ED,FIU,2,1,0,,0,0,166,,49.8,73.5,62.5,46.3,70.2,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,16,16,0,4,11,1,0,0,8,8,0,0,0,0,1,0,0,0,
Ahmad Craig,98454,ED,DUKE,1,0,0,,0,0,154,,42.6,71.1,,46.3,17.5,0,0,0,,100.0,1,0,0,0.0,0,0,0,0,0,6,6,0,0,5,1,0,0,0,6,0,0,0,0,0,0,0,0,
Aiden Malenchek,98455,DI,OHIO,1,0,0,,0,0,259,,73.9,71.2,59.1,72.9,73.1,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,12,12,0,8,0,4,0,0,2,10,0,2,2,0,0,0,0,0,
Jordan Avissey,98460,DI,BUFFALO,4,1,0,,0,0,126,,48.8,76.8,54.1,48.5,70.2,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,52,52,6,46,0,0,0,0,25,27,0,0,0,0,0,0,0,0,
Adam Plant Jr.,98461,ED,UNLV,6,11,0,,0,0,325,67.1,62.7,88.8,56.5,63.8,72.3,0,4,0,,10.7,3,0,0,0.0,0,4,1,0,21,366,356,0,0,353,3,0,10,166,179,8,14,14,0,8,0,0,0,
Zach Harrison,98503,ED,OHIO STATE,7,2,1,100.0,0,0,260,62.3,88.8,84.2,86.6,79.5,81.8,1,19,0,-7,8.3,1,0,0,79.2,1,2,0,0,4,218,218,3,6,205,4,0,0,144,70,0,9,9,1,22,0,-7,0,-7.0
Cory Stover,98505,ED,OREGON ST,4,0,0,,0,0,265,,65.9,75.5,59.3,67.7,69.7,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,33,33,0,18,13,2,0,0,16,17,0,0,1,0,2,0,0,0,
Christian Rorie,98506,DI,DUKE,6,1,0,,0,0,154,60.0,68.8,76.7,55.8,70.6,74.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,41,41,4,32,0,5,0,0,11,30,0,3,3,0,0,0,0,0,
