player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Ethan Self,46787,G,AUSTINPEAY,1,100.0,0,116,58.4,82.3,55.1,0,0,14,100.0,100.0,100.0,0,0,0,35,0,0,0,35,14,14,35,0,21,0
Samuel St. Surin,23913,WR,YNGTOWN ST,4,26.5,0,353,54.1,,67.3,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,132,0,96,0,0,35,0
Jordan Walker,78822,WR,KENNESAW,3,89.7,0,200,59.9,,64.7,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,39,0,4,0,0,35,0
Alexander Hollins,63664,WR,E ILLINOIS,1,46.7,0,158,76.1,,63.0,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,75,0,40,0,0,35,0
JJ Colimon,61948,T,CENT CT ST,1,100.0,1,133,49.7,82.3,51.6,0,0,10,100.0,100.0,100.0,2,0,0,35,0,0,32,35,11,11,0,3,24,0
Markcus Hardy,75932,WR,PRVIEW A&M,2,38.5,0,270,63.0,,60.4,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,91,0,56,0,0,35,0
Ra'Quanne Dickens,78600,HB,INCAR WORD,3,25.7,1,189,68.5,49.5,58.3,0,2,28,33.3,34.1,96.4,2,2,0,35,0,0,0,136,29,85,0,0,6,0
Elias Jbeily,40623,WR,UC DAVIS,10,44.9,0,322,56.4,,76.7,0,0,0,0.0,0.0,,0,0,0,35,0,0,0,78,0,43,0,0,35,1
Kendric Johnson,60839,TE,ALAB A&M,2,60.3,0,104,59.3,77.2,49.5,0,0,9,28.1,30.3,100.0,1,0,0,35,0,0,2,58,10,33,0,0,25,26
Kyontez Everett,83926,TE,ALCORN ST,3,94.6,0,107,57.9,73.0,54.4,0,0,6,75.0,75.0,100.0,1,0,0,35,0,0,0,37,6,8,0,0,29,23
David Cinti,61943,C,CENT CT ST,1,100.0,0,133,44.3,56.6,49.5,0,1,21,100.0,100.0,92.9,1,2,1,34,33,0,0,34,21,21,0,0,13,0
Kyndel Dean,61337,WR,JAMES MAD,2,46.6,0,197,68.2,,58.2,0,0,0,0.0,0.0,,0,0,0,34,0,0,0,73,0,38,0,0,34,0
John D'Agostino,27493,WR,MONTANA ST,3,55.7,0,233,53.3,,63.3,0,0,0,0.0,0.0,,0,0,0,34,0,0,0,61,0,27,0,0,34,0
Jazz Ferguson,47725,WR,NWSTATE,2,29.3,0,257,83.7,,63.3,0,0,0,0.0,0.0,,0,0,0,34,0,0,0,116,0,82,0,0,34,0
Donovan McDonald,41091,WR,ALBANY,2,38.2,0,106,52.0,,55.7,0,0,0,0.0,0.0,,2,0,0,34,0,0,0,89,0,55,0,0,34,0
Jack Short,60869,TE,CENT ARK,2,85.0,0,132,69.9,76.3,70.7,0,0,13,72.2,70.0,100.0,0,0,0,34,0,0,0,40,14,20,0,0,20,32
Logan Kendall,82518,TE,IDAHO,3,97.1,0,185,51.7,72.7,49.5,0,0,4,80.0,83.3,100.0,0,0,0,34,0,0,0,35,5,6,0,0,29,23
Nick Busher,91685,C,CORNELL,1,100.0,0,147,57.0,59.8,55.3,0,1,19,100.0,100.0,97.4,0,1,0,34,0,34,0,34,19,19,0,0,15,0
T.J. Bell,46549,QB,SVANNAH ST,3,45.9,0,286,27.9,,60.0,0,0,0,0.0,0.0,,1,0,0,34,0,0,0,74,0,33,0,0,34,0
Tyree' Rhodes,60075,G,SE LA,1,100.0,0,294,60.1,82.1,56.2,0,0,16,100.0,100.0,100.0,0,0,0,34,0,34,0,34,16,16,0,0,18,0
Craig Wood,61979,C,CENT CT ST,1,100.0,0,133,54.6,19.3,60.4,0,0,12,100.0,100.0,100.0,0,0,0,34,34,0,0,34,14,14,0,0,20,0
Tre'Mond Shorts,87380,G,E TENN ST,1,100.0,0,157,64.6,83.8,61.2,0,0,15,100.0,100.0,100.0,0,0,0,34,0,0,0,34,16,16,34,0,18,0
James Robinson,22425,HB,ILL STATE,4,17.9,0,188,79.5,67.5,66.5,1,1,24,26.7,26.3,95.8,0,2,0,34,0,0,0,190,25,95,0,0,9,0
Mark Williamson,38715,T,WM & MARY,1,100.0,0,348,66.8,49.2,71.5,2,1,21,100.0,100.0,92.9,0,3,0,34,0,0,34,34,22,22,0,0,12,0
