player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Tamel McCall,79182,CB,TENN MARTN,1,0,0,0.0,0,0,310,76.5,79.6,69.5,,60.0,,0,0,0,,,0,1,0,39.6,0,0,0,7,3,7,0,0,0,0,0,0,7,0,4,0,0,0,1,0,0,0,0,
Charles Shelton IV,79183,CB,E ILLINOIS,3,1,0,100.0,0,0,158,35.6,41.6,72.5,,64.5,80.1,0,0,0,25,0.0,0,0,0,118.8,1,0,4,20,8,24,0,0,0,0,0,0,24,0,16,0,0,3,1,0,0,25,7,25.0
Kendall Moultrie,79184,CB,SCAR STATE,10,4,0,53.1,1,1,290,63.9,67.5,88.3,80.7,66.7,48.8,1,3,1,36,28.6,6,3,1,84.2,17,2,28,17,248,418,9,0,0,9,0,20,409,17,153,344,7,11,32,6,2,231,122,13.6
Muadh Abdus-Salaam,79187,S,DELWARE ST,11,2,0,66.7,0,0,152,64.9,63.9,19.7,56.2,66.3,84.5,0,0,0,9,0.0,0,1,1,72.9,2,0,30,1,36,128,83,0,0,83,0,0,45,14,78,13,9,11,3,0,0,11,9,5.5
David Bowman,79189,S,DELWARE ST,9,3,0,75.0,0,0,152,61.8,68.5,85.2,63.3,84.6,90.0,1,0,1,59,0.0,0,1,1,113.5,9,0,49,0,121,213,5,0,0,5,0,58,208,10,82,100,7,14,12,1,3,127,62,14.1
Rodney Dennard,79191,S,HOWARD,11,13,0,69.2,0,0,184,49.8,57.3,85.2,52.5,72.0,56.8,0,1,0,43,17.9,10,2,0,150.3,18,0,189,4,226,480,5,0,0,5,0,133,475,9,245,148,12,33,26,1,3,330,111,18.3
Markeith Montgomery,79193,S,KENNESAW,12,8,0,58.3,1,1,200,79.7,77.2,37.9,,69.7,46.1,0,0,2,42,22.4,11,4,2,85.8,14,0,102,0,303,496,1,0,0,1,0,271,495,0,193,122,6,30,24,0,2,242,137,17.3
Jeremiah Compton,79194,CB,KENNESAW,1,1,0,,0,0,200,61.0,68.4,68.7,,61.6,74.8,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,
Justin Terry,79195,CB,MONMOUTH,11,5,0,63.8,1,2,231,51.8,55.0,47.6,66.4,71.7,69.4,0,0,2,43,11.6,5,1,7,111.7,37,1,35,574,377,660,7,0,0,6,1,9,653,6,277,32,9,33,58,1,5,586,165,15.8
Donte Anthony,79197,HB,SCAR STATE,1,0,0,,0,0,290,,60.0,60.0,,60.0,,0,0,0,,,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
